"Caeiro_1" "Caeiro_2" "Campos_1" "Campos_2" "Campos_3" "Campos_4" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis_1"
"meu" 0.2834522529567 0.395444479595065 0.542257339840421 0.413304467624483 0.450752853169656 0.562933025404157 0.82414854532817 0.835216665028987 0.831271647699159 0.702338046391276 0.198235702249975
"tudo" 0.322549115433486 0.237266687757039 0.550003873266713 0.708521944499114 0.738467440299223 0.793879907621247 0.466686525667759 0.589564704726344 0.514596734289955 0.462064504204787 0.346912478937457
"mas" 0.733066171439742 0.727617842454919 0.317607870477961 0.531391458374336 0.421981394456699 0.360854503464203 0.655347036044087 0.442173528544758 0.593765462642256 0.415858053784308 0.406383189612449
"sem" 0.273678037337504 0.474533375514078 0.271128669920211 0.432985632749459 0.431571880694351 0.389722863741339 0.685135537682455 0.540434312665815 0.692726373082632 0.619166435634415 0.327088908712459
"vida" 0.185710096764735 0.221448908573236 0.379580137888295 0.570753788624287 0.508295770595569 0.418591224018476 0.377321020752656 0.599390783138449 0.415635823849579 0.415858053784308 0.931707800574884
"quem" 0.361645977910273 0.284720025308447 0.232396002788752 0.38378271993702 0.182219238515393 0.274249422632794 1.03266805679674 0.569912547902132 0.672934190994557 0.508270954625266 0.515412825849936
"mim" 0.439839702863845 0.268902246124644 0.557750406693005 0.47234796299941 0.498705284357917 0.490762124711316 0.486545526760004 0.530608234253709 0.534388916378031 0.406616763700213 0.178412132024978
"ou" 0.351871762291076 0.268902246124644 0.170423735378418 0.324739224562094 0.412390908219047 0.591801385681293 0.714924039320822 0.569912547902132 0.475012370113805 0.480547084372978 0.574883536524928
"só" 0.508259212198221 0.648528946535906 0.294368270199086 0.334579807124582 0.316486045842524 0.288683602771363 0.764571542051435 0.481477842193181 0.415635823849579 0.378892893447925 0.485677470512439
"nem" 0.430065487244649 0.569440050616893 0.201409869083585 0.344420389687069 0.374028963268438 0.202078521939954 0.595770032767352 0.560086469490026 0.564077189510144 0.36965160336383 0.664089602537417
"ao" 0.371420193529469 0.316355583676052 0.53451080641413 0.541232040936823 0.402800421981394 0.562933025404157 0.426968523483269 0.284956273951066 0.415635823849579 0.397375473616117 0.485677470512439
"minha" 0.518033427817418 0.664346725719709 0.588736540398172 0.482188545561897 0.354847990793133 0.346420323325635 0.486545526760004 0.432347450132652 0.425531914893617 0.36965160336383 0.118941421349985
"nada" 0.273678037337504 0.268902246124644 0.147184135099543 0.354260972249557 0.258943128416611 0.404157043879908 0.665276536590209 0.491303920605286 0.524492825333993 0.535994824877553 0.654177817424918
"mais" 0.635324015247776 0.411262258778867 0.286621736772794 0.492029128124385 0.258943128416611 0.505196304849885 0.287955515837553 0.294782352363172 0.267194458189015 0.295721282691064 0.792942808999901
"há" 0.322549115433486 0.42708003796267 0.271128669920211 0.324739224562094 0.326076532080176 0.418591224018476 0.556052030582862 0.432347450132652 0.435428005937655 0.545236114961649 0.15858856179998
"alma" 0.117290587430359 0.221448908573236 0.317607870477961 0.295217476874631 0.239762155941306 0.404157043879908 0.585840532221229 0.569912547902132 0.583869371598219 0.360410313279734 0.168500346912479
"dos" 0.449613918483042 0.173995571021829 0.673948408087381 0.344420389687069 0.402800421981394 0.663972286374134 0.168801509284083 0.13756509776948 0.188025729836715 0.157101931429628 0.455942115174943
"sei" 0.371420193529469 0.442897817146473 0.185916802231002 0.186971068687266 0.278124100891915 0.23094688221709 0.496475027306127 0.461825685368969 0.633349826818407 0.471305794288883 0.138764991574983
"sou" 0.293226468575897 0.205631129389434 0.154930668525835 0.354260972249557 0.17262875227774 0.519630484988453 0.575911031675107 0.707477645671612 0.376051459673429 0.360410313279734 0.0792942808999901
"das" 0.322549115433486 0.458715596330275 0.689441474939964 0.305058059437119 0.527476743070874 0.245381062355658 0.11915400655347 0.117912940945269 0.148441365660564 0.221790962018298 0.327088908712459
"porque" 0.59622715277099 0.79088895919013 0.193663335657293 0.216492816374729 0.17262875227774 0.274249422632794 0.297885016383676 0.314434509187383 0.445324096981692 0.221790962018298 0.23788284269997
"à" 0.34209754667188 0.284720025308447 0.216902935936169 0.354260972249557 0.326076532080176 0.433025404157044 0.337603018568166 0.235825881890537 0.20781791192479 0.295721282691064 0.416294974724948
"onde" 0.136839018668752 0.173995571021829 0.247889069641336 0.206652233812242 0.278124100891915 0.202078521939954 0.506404527852249 0.353738822835806 0.45522018802573 0.323445152943351 0.227971057587471
"nos" 0.205258528003128 0.316355583676052 0.317607870477961 0.118086990749852 0.220581183466002 0.144341801385681 0.139013007645715 0.167043333005797 0.286986640277091 0.0924129008409574 1.09029636237486
"ter" 0.332323331052683 0.316355583676052 0.193663335657293 0.314898641999606 0.210990697228349 0.216512702078522 0.357462019660411 0.412695293308441 0.277090549233053 0.378892893447925 0.109029636237486
"quando" 0.381194409148666 0.537804492249288 0.240142536215044 0.167289903562291 0.17262875227774 0.101039260969977 0.238308013106941 0.255478038714749 0.385947550717467 0.166343221513723 0.247794627812469
"todos" 0.166161665526342 0.158177791838026 0.317607870477961 0.265695729187168 0.93986765128992 0.476327944572748 0.0794360043689802 0.0589564704726344 0.049480455220188 0.138619351261436 0.039647140449995
"te" 0.166161665526342 0.205631129389434 0.123944534820668 0.236173981499705 0.143857293564784 0.288683602771363 0.287955515837553 0.432347450132652 0.188025729836715 0.157101931429628 0.465853900287442
"tenho" 0.224806959241521 0.332173362859854 0.170423735378418 0.659319031686676 0.134266807327131 0.0577367205542725 0.327673518022043 0.167043333005797 0.336467095497279 0.175584511597819 0.039647140449995
"são" 0.420291271625452 0.379626700411262 0.216902935936169 0.236173981499705 0.134266807327131 0.245381062355658 0.178731009830206 0.167043333005797 0.217714002968827 0.249514832270585 0.227971057587471
"coisa" 0.449613918483042 0.616893388168301 0.201409869083585 0.265695729187168 0.163038266040088 0.346420323325635 0.218449012014696 0.13756509776948 0.138545274616526 0.184825801681915 0.0594707106749926
"eh" 0 0 1.85142148888372 0 0.143857293564784 0 0 0 0 0 0
"noite" 0.263903821718307 0.079088895919013 0.147184135099543 0.118086990749852 0.210990697228349 0.202078521939954 0.228378512560818 0.412695293308441 0.286986640277091 0.351169023195638 0.128853206462484
"dia" 0.175935881145538 0.142360012654223 0.170423735378418 0.137768155874828 0.115085834851827 0.158775981524249 0.188660510376328 0.245651960302643 0.346363186541316 0.332686443027447 0.327088908712459
"já" 0.136839018668752 0.142360012654223 0.116198001394376 0.186971068687266 0.0959048623765225 0.0866050808314088 0.397180021844901 0.216173725066326 0.336467095497279 0.323445152943351 0.178412132024978
"mundo" 0.215032743622324 0.332173362859854 0.100704934541793 0.364101554812045 0.105495348614175 0.158775981524249 0.238308013106941 0.186695489830009 0.257298367144978 0.166343221513723 0.178412132024978
"sempre" 0.205258528003128 0.237266687757039 0.131691068246959 0.265695729187168 0.268533614654263 0.346420323325635 0.139013007645715 0.0786086272968458 0.267194458189015 0.138619351261436 0.198235702249975
"tem" 0.322549115433486 0.221448908573236 0.116198001394376 0.177130486124779 0.0671334036635657 0.0866050808314088 0.218449012014696 0.343912744423701 0.20781791192479 0.249514832270585 0.0991178511249876
"coisas" 0.430065487244649 0.632711167352104 0.201409869083585 0.216492816374729 0.210990697228349 0.158775981524249 0.00992950054612253 0.0982607841210573 0.049480455220188 0.0739303206727659 0.15858856179998
"sol" 0.34209754667188 0.49035115469788 0.100704934541793 0.0787246604999016 0.182219238515393 0.0577367205542725 0.139013007645715 0.176869411417903 0.168233547748639 0.212549671934202 0.218059272474973
"nunca" 0.273678037337504 0.442897817146473 0.131691068246959 0.226333398937217 0.0959048623765225 0.158775981524249 0.218449012014696 0.13756509776948 0.20781791192479 0.120136771093245 0.148676776687481
"coração" 0.00977421561919656 0.0158177791838026 0.0929584011155008 0.137768155874828 0.230171669703654 0.216512702078522 0.317744017475921 0.393043136484229 0.24740227610094 0.240273542186489 0.039647140449995
"quero" 0.127064803049555 0.237266687757039 0.0774653342629174 0.098405825624877 0.115085834851827 0.259815242494226 0.11915400655347 0.265304117126855 0.286986640277091 0.166343221513723 0.247794627812469
"isto" 0.205258528003128 0.332173362859854 0.294368270199086 0.177130486124779 0.191809724753045 0.187644341801386 0.168801509284083 0.13756509776948 0.0692726373082632 0.0924129008409574 0.039647140449995
"mesmo" 0.146613234287948 0.158177791838026 0.123944534820668 0.177130486124779 0.239762155941306 0.288683602771363 0.109224506007348 0.117912940945269 0.158337456704602 0.12937806117734 0.23788284269997
"isso" 0.273678037337504 0.332173362859854 0.123944534820668 0.246014564062192 0.230171669703654 0.173210161662818 0.15887200873796 0.127739019357374 0.0989609104403761 0.0831716107568617 0.0297353553374963
"meus" 0.215032743622324 0.221448908573236 0.247889069641336 0.108246408187365 0.191809724753045 0.23094688221709 0.0992950054612253 0.0786086272968458 0.188025729836715 0.12937806117734 0.0892060660124888
"deus" 0.175935881145538 0.126542233470421 0.147184135099543 0.216492816374729 0.115085834851827 0.274249422632794 0.109224506007348 0.245651960302643 0.0692726373082632 0.101654190925053 0.188323917137476
"entre" 0.0195484312383931 0.0949066751028156 0.0697188008366256 0.118086990749852 0.143857293564784 0.0721709006928406 0.218449012014696 0.314434509187383 0.267194458189015 0.304962572775159 0.039647140449995
"ó" 0 0 0.472538539003796 0.0787246604999016 0.460343339407308 0.0721709006928406 0.0992950054612253 0.13756509776948 0.108857001484414 0.036965160336383 0.0495589255624938
"assim" 0.2834522529567 0.158177791838026 0.0387326671314587 0.108246408187365 0.143857293564784 0.158775981524249 0.178731009830206 0.196521568242115 0.138545274616526 0.138619351261436 0.168500346912479
"estou" 0.166161665526342 0.110724454286618 0.0929584011155008 0.196811651249754 0.182219238515393 0.245381062355658 0.148942508191838 0.20634764665422 0.20781791192479 0.0924129008409574 0.00991178511249876
"todas" 0.107516371811162 0.158177791838026 0.294368270199086 0.137768155874828 0.479524311882612 0.375288683602771 0.00992950054612253 0.00982607841210573 0.049480455220188 0.0184825801681915 0.00991178511249876
"bem" 0.166161665526342 0.079088895919013 0.0852118676892091 0.0492029128124385 0.124676321089479 0.101039260969977 0.188660510376328 0.324260587599489 0.217714002968827 0.147860641345532 0.0991178511249876
"sonho" 0.0488710780959828 0 0.0697188008366256 0.0590434953749262 0.0287714587129567 0.129907621247113 0.307814516929798 0.255478038714749 0.385947550717467 0.240273542186489 0.039647140449995
"está" 0.175935881145538 0.316355583676052 0.0774653342629174 0.147608738437315 0.105495348614175 0.0721709006928406 0.188660510376328 0.20634764665422 0.148441365660564 0.147860641345532 0.0594707106749926
"qualquer" 0.195484312383931 0.110724454286618 0.139437601673251 0.177130486124779 0.0863143761388702 0.187644341801386 0.109224506007348 0.13756509776948 0.158337456704602 0.221790962018298 0.0297353553374963
"era" 0.146613234287948 0.0316355583676052 0.162677201952126 0.167289903562291 0.153447779802436 0.144341801385681 0.268096514745308 0.117912940945269 0.118753092528451 0.175584511597819 0
"pensar" 0.195484312383931 0.506168933881683 0.0542257339840421 0.12792757331234 0.0863143761388702 0.129907621247113 0.139013007645715 0.176869411417903 0.178129638792677 0.0739303206727659 0.0297353553374963
"tão" 0.0977421561919656 0.079088895919013 0.193663335657293 0.137768155874828 0.201400210990697 0.0577367205542725 0.109224506007348 0.0687825488847401 0.148441365660564 0.212549671934202 0.138764991574983
"dentro" 0.127064803049555 0.142360012654223 0.209156402509877 0.12792757331234 0.287714587129567 0.187644341801386 0.0297885016383676 0.108086862533163 0.0692726373082632 0.157101931429628 0.0495589255624938
"nós" 0.0781937249535725 0.237266687757039 0.147184135099543 0.0688840779374139 0.0287714587129567 0.0433025404157044 0.0496475027306126 0.127739019357374 0.128649183572489 0.184825801681915 0.39647140449995
"ah" 0.0488710780959828 0.0158177791838026 0.271128669920211 0.137768155874828 0.210990697228349 0.0721709006928406 0.0893655049151028 0.147391176181586 0.158337456704602 0.166343221513723 0.0495589255624938
"grande" 0.156387449907145 0.079088895919013 0.185916802231002 0.0787246604999016 0.076723889901218 0.490762124711316 0.139013007645715 0.127739019357374 0.0989609104403761 0.0646890305886702 0.0297353553374963
"sobre" 0.0977421561919656 0.126542233470421 0.302114803625378 0.118086990749852 0.0575429174259135 0.115473441108545 0.0695065038228577 0.186695489830009 0.0692726373082632 0.12937806117734 0.118941421349985
"sinto" 0.166161665526342 0.253084466940842 0.0929584011155008 0.0590434953749262 0.0863143761388702 0.0433025404157044 0.11915400655347 0.157217254593692 0.217714002968827 0.184825801681915 0.0792942808999901
"ver" 0.244355390479914 0.36380892122746 0.0774653342629174 0.0787246604999016 0.0479524311882612 0.0433025404157044 0.0992950054612253 0.167043333005797 0.197921820880752 0.120136771093245 0.0693824957874913
"outra" 0.215032743622324 0.110724454286618 0.294368270199086 0.12792757331234 0.163038266040088 0.115473441108545 0.109224506007348 0.0687825488847401 0.049480455220188 0.0554477405045744 0.0594707106749926
"olhos" 0.166161665526342 0.300537804492249 0.139437601673251 0.0885652430623893 0.134266807327131 0.0721709006928406 0.0297885016383676 0.0786086272968458 0.188025729836715 0.0831716107568617 0.178412132024978
"lá" 0.117290587430359 0.0949066751028156 0.116198001394376 0.137768155874828 0.393209935743742 0.187644341801386 0.0496475027306126 0 0.0890648193963385 0.157101931429628 0.0495589255624938
"toda" 0.146613234287948 0.142360012654223 0.154930668525835 0.186971068687266 0.201400210990697 0.129907621247113 0.0794360043689802 0.0491303920605286 0.0197921820880752 0.231032252102394 0.0297353553374963
"ele" 0.34209754667188 0.237266687757039 0.123944534820668 0.108246408187365 0.076723889901218 0.158775981524249 0.0496475027306126 0.0786086272968458 0.0791687283523008 0.0462064504204787 0.128853206462484
"quanto" 0.0488710780959828 0.079088895919013 0.0619722674103339 0.0590434953749262 0.0191809724753045 0.187644341801386 0.15887200873796 0.167043333005797 0.168233547748639 0.194067091766011 0.227971057587471
"sentir" 0.146613234287948 0.110724454286618 0.100704934541793 0.0688840779374139 0.134266807327131 0.129907621247113 0.228378512560818 0.13756509776948 0.158337456704602 0.110895481009149 0.0297353553374963
"seu" 0.0977421561919656 0.0632711167352104 0.123944534820668 0.0590434953749262 0.0191809724753045 0.0433025404157044 0.0893655049151028 0.108086862533163 0.20781791192479 0.157101931429628 0.307265338487462
"céu" 0.195484312383931 0.0158177791838026 0.0387326671314587 0.0098405825624877 0.038361944950609 0.0288683602771363 0.218449012014696 0.255478038714749 0.227610094012865 0.203308381850106 0.0198235702249975
"ela" 0.234581174860717 0.253084466940842 0.100704934541793 0.0688840779374139 0.076723889901218 0.0721709006928406 0.139013007645715 0.108086862533163 0.0791687283523008 0.0831716107568617 0.109029636237486
"hoje" 0.087967940572769 0.0316355583676052 0.100704934541793 0.285376894312143 0.115085834851827 0.0433025404157044 0.0695065038228577 0.20634764665422 0.128649183572489 0.101654190925053 0.0594707106749926
"vento" 0.0781937249535725 0.173995571021829 0.0232396002788752 0.0196811651249754 0.0191809724753045 0 0.268096514745308 0.255478038714749 0.148441365660564 0.157101931429628 0.128853206462484
"nas" 0.146613234287948 0.189813350205631 0.170423735378418 0.118086990749852 0.0959048623765225 0.0866050808314088 0.0397180021844901 0.117912940945269 0.128649183572489 0.0554477405045744 0.109029636237486
"até" 0.0977421561919656 0.0158177791838026 0.0852118676892091 0.196811651249754 0.124676321089479 0.129907621247113 0.218449012014696 0.0491303920605286 0.118753092528451 0.101654190925053 0.0792942808999901
"mar" 0.0293226468575897 0 0.302114803625378 0.0196811651249754 0.0575429174259135 0.0577367205542725 0.148942508191838 0.0786086272968458 0.158337456704602 0.166343221513723 0.109029636237486
"aqui" 0.0293226468575897 0.158177791838026 0.0697188008366256 0.108246408187365 0.153447779802436 0.101039260969977 0.0496475027306126 0.216173725066326 0.128649183572489 0.110895481009149 0.128853206462484
"foi" 0.0684195093343759 0.0474533375514078 0.0697188008366256 0.108246408187365 0.124676321089479 0.0433025404157044 0.0992950054612253 0.225999803478432 0.118753092528451 0.221790962018298 0.0594707106749926
"vejo" 0.195484312383931 0.237266687757039 0.0464792005577504 0.0885652430623893 0.038361944950609 0.0577367205542725 0.0893655049151028 0.167043333005797 0.168233547748639 0.157101931429628 0.0297353553374963
"faz" 0.0781937249535725 0.110724454286618 0.0619722674103339 0.0787246604999016 0.0575429174259135 0.101039260969977 0.188660510376328 0.186695489830009 0.168233547748639 0.138619351261436 0.0594707106749926
"fui" 0.0781937249535725 0.0474533375514078 0.108451467968084 0.137768155874828 0.0959048623765225 0.0433025404157044 0.198590010922451 0.117912940945269 0.158337456704602 0.120136771093245 0.0693824957874913
"outro" 0.0488710780959828 0.0474533375514078 0.0464792005577504 0.108246408187365 0.105495348614175 0.101039260969977 0.148942508191838 0.108086862533163 0.227610094012865 0.12937806117734 0.138764991574983
"flores" 0.430065487244649 0.332173362859854 0 0.0196811651249754 0.038361944950609 0.0144341801385681 0.0297885016383676 0.0393043136484229 0.108857001484414 0.0739303206727659 0.198235702249975
"hora" 0.00977421561919656 0.0632711167352104 0.154930668525835 0.0590434953749262 0.0479524311882612 0.0721709006928406 0.0794360043689802 0.127739019357374 0.138545274616526 0.212549671934202 0.188323917137476
"depois" 0.175935881145538 0.0632711167352104 0.0929584011155008 0.364101554812045 0.038361944950609 0.0288683602771363 0.11915400655347 0.0884347057089516 0.0395843641761504 0.0831716107568617 0.0594707106749926
"gente" 0.117290587430359 0.0949066751028156 0.216902935936169 0.275536311749656 0.115085834851827 0.0433025404157044 0.0595770032767352 0.0491303920605286 0.118753092528451 0.0462064504204787 0
"tu" 0.127064803049555 0.0949066751028156 0.0697188008366256 0.0688840779374139 0.143857293564784 0.303117782909931 0.148942508191838 0.0589564704726344 0.0395843641761504 0.0646890305886702 0.138764991574983
"deuses" 0.0195484312383931 0.079088895919013 0.0697188008366256 0.0196811651249754 0.038361944950609 0.0288683602771363 0 0 0.0197921820880752 0.036965160336383 0.852413519674893
"estar" 0.156387449907145 0.205631129389434 0.0774653342629174 0.186971068687266 0.134266807327131 0.101039260969977 0.0992950054612253 0.0589564704726344 0.0692726373082632 0.101654190925053 0.00991178511249876
"fora" 0.107516371811162 0.173995571021829 0.0774653342629174 0.0688840779374139 0.134266807327131 0.173210161662818 0.0595770032767352 0.0884347057089516 0.108857001484414 0.138619351261436 0.0792942808999901
"pouco" 0.0977421561919656 0 0.0697188008366256 0.108246408187365 0.124676321089479 0.202078521939954 0.0297885016383676 0.0687825488847401 0.0791687283523008 0.101654190925053 0.277529983149965
"aos" 0.0390968624767862 0.0316355583676052 0.100704934541793 0.098405825624877 0.105495348614175 0.245381062355658 0.0595770032767352 0.0687825488847401 0.138545274616526 0.0462064504204787 0.23788284269997
"amor" 0.0684195093343759 0 0.100704934541793 0.0590434953749262 0.038361944950609 0 0.129083507099593 0.0982607841210573 0.138545274616526 0.240273542186489 0.188323917137476
"todo" 0.127064803049555 0.0949066751028156 0.17817026880471 0.0393623302499508 0.17262875227774 0.158775981524249 0.0695065038228577 0.0884347057089516 0.0593765462642256 0.110895481009149 0.0297353553374963
"corpo" 0.117290587430359 0.205631129389434 0.116198001394376 0.0393623302499508 0.076723889901218 0.187644341801386 0.0794360043689802 0.127739019357374 0.0989609104403761 0.0831716107568617 0.0495589255624938
"outros" 0.087967940572769 0.0949066751028156 0.0774653342629174 0.167289903562291 0.105495348614175 0.144341801385681 0.11915400655347 0.0982607841210573 0.049480455220188 0.0462064504204787 0.138764991574983
"passa" 0.136839018668752 0.0949066751028156 0.0929584011155008 0.0196811651249754 0.076723889901218 0.0144341801385681 0.129083507099593 0.108086862533163 0.0890648193963385 0.110895481009149 0.208147487362474
"sim" 0.087967940572769 0.079088895919013 0.0697188008366256 0.157449320999803 0.210990697228349 0.144341801385681 0.0496475027306126 0.0982607841210573 0.0791687283523008 0.0831716107568617 0.0594707106749926
"tempo" 0.0488710780959828 0.0949066751028156 0.185916802231002 0.0295217476874631 0.249352642178958 0.0866050808314088 0.0595770032767352 0.0589564704726344 0.0296882731321128 0.110895481009149 0.118941421349985
"estrada" 0.127064803049555 0.205631129389434 0.00774653342629173 0.0196811651249754 0.076723889901218 0.202078521939954 0.11915400655347 0.0982607841210573 0.0791687283523008 0.231032252102394 0.0198235702249975
"fim" 0.0293226468575897 0 0.0309861337051669 0.137768155874828 0.0479524311882612 0.0866050808314088 0.168801509284083 0.176869411417903 0.138545274616526 0.166343221513723 0.0792942808999901
"esta" 0.0781937249535725 0.079088895919013 0.131691068246959 0.177130486124779 0.038361944950609 0.101039260969977 0.109224506007348 0.0687825488847401 0.0593765462642256 0.12937806117734 0.0892060660124888
"teu" 0.0390968624767862 0 0.0619722674103339 0.0295217476874631 0.0191809724753045 0.158775981524249 0.188660510376328 0.20634764665422 0.0890648193963385 0.147860641345532 0.128853206462484
"seja" 0.0781937249535725 0.0949066751028156 0.0542257339840421 0.0787246604999016 0.163038266040088 0.0866050808314088 0.0893655049151028 0.0884347057089516 0.0593765462642256 0.166343221513723 0.0892060660124888
"talvez" 0.0488710780959828 0.221448908573236 0.0697188008366256 0.196811651249754 0.0575429174259135 0.0577367205542725 0.15887200873796 0.0294782352363172 0.0890648193963385 0.0924129008409574 0.0693824957874913
"olhar" 0.087967940572769 0.079088895919013 0.0774653342629174 0.0295217476874631 0.0575429174259135 0.0577367205542725 0.129083507099593 0.0982607841210573 0.237506185056903 0.138619351261436 0.0297353553374963
"cada" 0.0781937249535725 0.205631129389434 0.0697188008366256 0.0393623302499508 0.076723889901218 0.129907621247113 0.0992950054612253 0.0393043136484229 0.0296882731321128 0.0646890305886702 0.257706412924968
"momento" 0.0781937249535725 0.0949066751028156 0.0309861337051669 0.0393623302499508 0.163038266040088 0.0577367205542725 0.148942508191838 0.0786086272968458 0.108857001484414 0.0739303206727659 0.15858856179998
"pela" 0.166161665526342 0.126542233470421 0.0852118676892091 0.118086990749852 0.134266807327131 0.115473441108545 0.0794360043689802 0.0294782352363172 0.0989609104403761 0.036965160336383 0.0594707106749926
"também" 0.0781937249535725 0.0474533375514078 0.0619722674103339 0.157449320999803 0.0863143761388702 0.259815242494226 0.168801509284083 0.0491303920605286 0.0692726373082632 0.0646890305886702 0.0297353553374963
"triste" 0.0293226468575897 0.0632711167352104 0.0852118676892091 0.0295217476874631 0.0479524311882612 0.0288683602771363 0.0992950054612253 0.225999803478432 0.178129638792677 0.110895481009149 0.0892060660124888
"mal" 0.087967940572769 0.0949066751028156 0.0154930668525835 0.098405825624877 0.0575429174259135 0.0721709006928406 0.139013007645715 0.147391176181586 0.158337456704602 0.0924129008409574 0.0594707106749926
"saber" 0.107516371811162 0.173995571021829 0.0232396002788752 0.0590434953749262 0.143857293564784 0.0144341801385681 0.11915400655347 0.0786086272968458 0.217714002968827 0.0646890305886702 0.0198235702249975
"longe" 0.136839018668752 0.126542233470421 0.170423735378418 0.0196811651249754 0.0191809724753045 0.0433025404157044 0.109224506007348 0.0491303920605286 0.0395843641761504 0.101654190925053 0.148676776687481
"às" 0.166161665526342 0.158177791838026 0.154930668525835 0.0688840779374139 0.0959048623765225 0.115473441108545 0.0198590010922451 0.0393043136484229 0.0296882731321128 0.0184825801681915 0.118941421349985
"luz" 0.136839018668752 0.0632711167352104 0.0852118676892091 0.0393623302499508 0.0959048623765225 0.0288683602771363 0.0992950054612253 0.0982607841210573 0.168233547748639 0.0924129008409574 0.0198235702249975
